customer_id,is_existing_customer,relationship_years,monthly_income,employment_type,years_in_job,existing_emi,monthly_expenses,credit_score,previous_default,number_of_past_loans,late_payments_count,loan_amount,loan_tenure_months,loan_type,dti_ratio,loan_status,loan_result
C1051,1,9,32165,Salaried,4,35035,76868,799,0,4,8,2561994,36,Personal,3.3017721125446915,0,Can Pay
C1052,1,9,29439,Salaried,18,49484,47542,382,0,4,0,1643810,12,Home,6.334052334205192,1,Can't Pay
C1053,1,0,133211,Business,9,23583,73712,816,0,5,6,900400,24,Personal,0.4586683281911153,0,Can Pay
C1054,1,0,59518,Business,17,22105,7416,621,0,1,9,711740,120,Home,0.4710535748289033,0,Can Pay
C1055,1,2,41962,Salaried,14,16130,45436,764,0,2,2,1566239,48,Personal,1.1620032211683589,0,Can Pay
C1056,0,13,52763,Salaried,0,13736,79187,440,0,3,5,402427,60,Home,0.3874517496477961,1,Can't Pay
C1057,0,14,131189,Business,4,42281,15486,435,0,4,8,1669328,24,Personal,0.8524825506203517,1,Can't Pay
C1058,0,2,125290,Salaried,4,13815,23695,629,0,0,9,2509069,12,Personal,1.7791051427355202,0,Can Pay
C1059,0,0,125814,Salaried,7,24396,6229,694,0,0,7,1096734,12,Personal,0.920330805792678,0,Can Pay
C1060,0,11,34464,Self-employed,19,24312,72066,455,0,0,1,1525733,36,Personal,1.935163423346745,1,Can't Pay
C1061,0,6,188108,Salaried,14,12244,47347,338,0,1,3,2816559,120,Personal,0.1898660609862419,0,Can Pay
C1062,1,3,138980,Salaried,16,42668,6363,581,0,2,4,247782,180,Personal,0.3169129850817863,0,Can Pay
C1063,0,9,179342,Self-employed,18,11718,50869,837,1,2,9,266736,120,Auto,0.0777330463583544,0,Can Pay
C1064,0,12,57299,Salaried,12,16784,54729,843,0,5,5,775104,12,Home,1.420199305398,0,Can Pay
C1065,1,1,46541,Salaried,9,30683,25303,345,0,4,6,1829605,180,Auto,0.8776664064421095,1,Can't Pay
C1066,0,9,88545,Salaried,16,44590,77853,543,0,0,3,417079,12,Auto,0.8961159109304121,1,Can't Pay
C1067,1,4,144188,Salaried,4,43997,8264,846,0,1,3,1096910,48,Home,0.4636259027565863,0,Can Pay
C1068,0,5,44765,Salaried,17,31428,23315,749,0,5,4,2449165,60,Personal,1.6139264306191592,0,Can Pay
C1069,1,8,38769,Salaried,16,36759,65521,577,0,3,8,1561349,48,Auto,1.7871780073426364,1,Can't Pay
C1070,1,3,35156,Self-employed,3,26490,29811,705,0,2,8,596038,180,Home,0.8476880823251286,0,Can Pay
C1071,0,1,196553,Business,6,40701,38405,345,1,2,0,2375103,36,Auto,0.5427344448231944,1,Can't Pay
C1072,0,4,159507,Salaried,4,47351,57157,819,0,1,4,1593569,24,Home,0.7131330181956487,0,Can Pay
C1073,1,2,192408,Self-employed,7,41001,64823,570,0,5,4,2371090,120,Home,0.3157877184593849,0,Can Pay
C1074,1,1,182207,Self-employed,7,45856,24856,537,0,5,6,2466571,36,Auto,0.6277028934734182,1,Can't Pay
C1075,1,11,88631,Self-employed,10,16410,51970,466,0,4,7,2087884,120,Home,0.3814583309827637,0,Can Pay
C1076,1,0,52909,Salaried,8,35386,55787,675,1,1,2,1078451,12,Home,2.367402836316443,1,Can't Pay
C1077,0,9,84487,Business,18,9362,25598,500,1,5,0,1807696,60,Personal,0.4674123435163594,1,Can't Pay
C1078,0,1,167540,Salaried,18,39407,47541,531,0,4,1,2870728,12,Auto,1.663091401058454,1,Can't Pay
C1079,0,5,62655,Salaried,8,24011,15652,745,0,5,5,840035,60,Home,0.606680765036044,0,Can Pay
C1080,1,7,180413,Salaried,19,7042,21963,717,0,2,5,1308672,60,Personal,0.1599286082488512,0,Can Pay
C1081,1,12,66786,Self-employed,16,25286,37223,453,0,4,4,2762981,60,Personal,1.068123309276395,1,Can't Pay
C1082,0,2,83304,Salaried,15,11391,36024,667,0,5,4,699329,24,Home,0.4865277577707352,0,Can Pay
C1083,0,10,118606,Salaried,6,26999,8941,386,0,4,8,2480745,36,Personal,0.8086318005272358,1,Can't Pay
C1084,0,14,192586,Self-employed,2,2018,78923,829,0,4,6,2953739,180,Personal,0.0956853619220042,0,Can Pay
C1085,0,8,135938,Business,18,12952,79060,353,0,5,5,1222897,120,Personal,0.1702453201704698,0,Can Pay
C1086,1,14,180051,Self-employed,7,16240,46617,341,0,4,6,1289219,120,Auto,0.1498658250532719,0,Can Pay
C1087,1,11,95981,Salaried,4,21262,59704,648,0,0,2,1074246,24,Personal,0.6878679113574562,0,Can Pay
C1088,1,8,70107,Salaried,5,19282,31025,529,0,0,6,2466049,180,Home,0.4704561915674928,0,Can Pay
C1089,0,1,147232,Self-employed,1,22459,48224,735,0,5,2,1464376,24,Auto,0.5669600811417808,1,Can't Pay
C1090,0,7,102897,Salaried,18,34815,18277,440,0,0,7,934671,24,Personal,0.7168296937714413,1,Can't Pay
C1091,1,9,87577,Self-employed,12,17942,53718,587,0,0,9,1692365,48,Personal,0.6074609105891577,1,Can't Pay
C1092,1,10,156918,Salaried,5,1722,45995,621,0,1,9,1823164,48,Auto,0.2530275897814995,0,Can Pay
C1093,1,11,119180,Business,5,36820,12539,741,1,3,8,1660713,48,Home,0.5992464129887565,1,Can't Pay
C1094,1,4,34924,Salaried,1,1651,37853,466,0,5,2,51773,180,Personal,0.0555099008640985,1,Can't Pay
C1095,0,3,126193,Salaried,4,21606,31811,762,0,4,6,2068169,24,Auto,0.8540862673312571,0,Can Pay
C1096,1,9,159954,Business,10,34546,11909,755,0,1,7,1741442,12,Home,1.1232364721524104,0,Can Pay
C1097,0,4,16095,Salaried,10,683,58433,372,0,5,2,901610,180,Auto,0.3536467501984743,0,Can Pay
C1098,0,3,119205,Salaried,13,42239,51084,569,0,0,5,303095,48,Personal,0.4073107601750486,0,Can Pay
C1099,0,7,187055,Self-employed,12,18394,78569,518,1,4,6,1853331,48,Personal,0.3047502739835877,1,Can't Pay
C1100,0,3,29123,Salaried,7,46705,61816,846,1,3,3,654936,180,Home,1.728652039052753,1,Can't Pay
C1101,1,12,60278,Salaried,14,18966,15748,482,0,5,5,2958087,180,Personal,0.5872758994436886,1,Can't Pay
C1102,0,9,112911,Salaried,11,26469,75602,377,1,4,6,2808618,24,Personal,1.2708659917988503,1,Can't Pay
C1103,1,11,66999,Salaried,2,8505,67465,607,0,2,6,1239414,36,Personal,0.6408030965636302,0,Can Pay
C1104,1,12,46153,Salaried,4,40211,54408,627,0,2,0,1309150,12,Home,3.2350406979683517,0,Can Pay
C1105,0,13,33344,Self-employed,5,5492,16998,720,0,5,1,2199905,60,Personal,1.2643079214651312,0,Can Pay
C1106,0,5,52656,Self-employed,1,16827,18764,535,0,1,0,732035,180,Personal,0.396799246260846,1,Can't Pay
C1107,1,1,16212,Salaried,7,27492,50379,761,1,3,8,610572,60,Home,2.323476437207007,1,Can't Pay
C1108,0,4,135385,Salaried,4,3266,64588,838,0,1,6,1503789,120,Personal,0.116686302027551,0,Can Pay
C1109,0,5,155073,Business,16,5909,67398,337,1,4,6,2985588,180,Personal,0.1450645824869577,1,Can't Pay
C1110,0,4,93784,Business,1,12869,52210,725,0,3,2,918943,12,Home,0.9537616579942564,1,Can't Pay
C1111,0,11,113723,Salaried,10,39782,49560,733,0,5,4,247300,24,Personal,0.4404224885613874,0,Can Pay
C1112,1,1,96144,Self-employed,3,21863,74201,658,0,1,1,2590683,180,Home,0.3770977214733455,0,Can Pay
C1113,1,13,182499,Self-employed,10,44055,21734,330,0,4,4,717344,36,Personal,0.3505839605818235,0,Can Pay
C1114,1,6,46368,Salaried,8,7819,79376,504,0,0,7,599272,36,Personal,0.5276363967487157,1,Can't Pay
C1115,1,3,76160,Salaried,5,29136,77580,480,0,4,9,399464,60,Home,0.4699807422969188,0,Can Pay
C1116,1,7,171926,Salaried,1,14837,7063,339,0,1,2,703433,36,Auto,0.1999511740839405,1,Can't Pay
C1117,0,6,25715,Self-employed,14,47954,27313,722,0,5,3,1710759,60,Personal,2.973620454987361,0,Can Pay
C1118,1,6,73784,Self-employed,4,10056,32087,456,0,5,7,1476891,120,Home,0.3030931502764827,0,Can Pay
C1119,1,8,144193,Self-employed,11,715,50779,467,0,3,1,2594678,48,Personal,0.379843623939211,0,Can Pay
C1120,1,0,114644,Salaried,12,17275,45181,381,0,3,0,903552,120,Personal,0.2163619552702278,0,Can Pay
C1121,1,9,41797,Self-employed,16,20191,23205,401,0,0,2,2647080,24,Personal,3.1218987008636985,1,Can't Pay
C1122,0,5,62573,Self-employed,3,16884,17464,388,0,1,1,1377846,36,Auto,0.8814904191903856,1,Can't Pay
C1123,0,5,91120,Business,9,45462,32132,644,0,5,9,1503822,24,Personal,1.1865808823529411,0,Can Pay
C1124,0,5,29780,Salaried,0,8894,55737,609,0,5,1,1488351,48,Personal,1.3398694593687035,1,Can't Pay
C1125,0,12,52905,Self-employed,10,18717,74285,739,1,0,3,2811567,12,Home,4.782426046687458,1,Can't Pay
C1126,1,11,167645,Salaried,15,18578,69549,458,1,2,5,2691806,12,Personal,1.4488661556662392,1,Can't Pay
C1127,1,5,131049,Self-employed,10,23321,40306,413,0,5,9,922398,12,Personal,0.7645041167807461,1,Can't Pay
C1128,0,11,144651,Self-employed,8,42969,30592,835,0,4,9,604502,60,Personal,0.3667035370189859,0,Can Pay
C1129,1,9,48359,Salaried,1,24959,49758,462,0,2,4,2106641,60,Auto,1.2421614039441125,1,Can't Pay
C1130,0,6,81062,Self-employed,6,10515,11577,585,1,2,3,1993654,12,Personal,2.1792311235021757,1,Can't Pay
C1131,0,13,88391,Salaried,18,9077,13263,354,0,0,7,1590069,48,Auto,0.4774630618501884,0,Can Pay
C1132,0,9,58463,Self-employed,17,21443,13072,332,0,0,4,1574827,120,Personal,0.5912552953720017,1,Can't Pay
C1133,0,5,114596,Salaried,19,10443,65814,495,1,4,1,2543796,180,Personal,0.2144507661698488,1,Can't Pay
C1134,1,0,110018,Self-employed,6,37208,50306,747,1,0,3,2144778,60,Auto,0.6631123997891254,1,Can't Pay
C1135,0,2,31571,Business,8,1783,10691,391,0,0,6,100678,120,Home,0.0830503732328191,0,Can Pay
C1136,1,1,165214,Salaried,11,13113,6953,527,0,0,3,762967,120,Personal,0.1178535616432828,0,Can Pay
C1137,1,5,40104,Salaried,2,5385,75499,585,0,5,5,485475,12,Home,1.14305929583084,1,Can't Pay
C1138,0,7,23625,Salaried,15,36885,42759,534,0,0,1,2900506,24,Personal,6.676800705467373,1,Can't Pay
C1139,1,2,54199,Salaried,6,6982,25185,401,0,0,8,2359178,12,Home,3.75616093777868,1,Can't Pay
C1140,1,9,135725,Salaried,4,35351,78983,439,0,2,3,463018,180,Home,0.2794129469310902,0,Can Pay
C1141,0,7,161998,Self-employed,6,42689,39699,565,0,2,0,110380,12,Personal,0.3202961353432347,0,Can Pay
C1142,0,7,46218,Business,18,13407,78490,641,1,4,2,593384,180,Auto,0.3614084940451291,0,Can Pay
C1143,0,4,190544,Business,16,15316,58739,834,0,3,6,2407433,24,Personal,0.6068189412069304,0,Can Pay
C1144,0,7,106916,Salaried,15,46524,60631,822,0,4,9,114626,120,Personal,0.4440796201379276,0,Can Pay
C1145,0,5,138182,Self-employed,18,24838,22945,315,0,5,8,1803874,60,Personal,0.397320683349978,0,Can Pay
C1146,1,4,35566,Self-employed,17,27207,43294,635,0,5,5,2512588,120,Auto,1.3536870419314329,0,Can Pay
C1147,1,8,48205,Salaried,18,48116,17920,689,1,5,3,2977590,24,Personal,3.5718753241365,1,Can't Pay
C1148,0,13,124084,Salaried,3,28402,58609,469,0,1,1,1410107,180,Home,0.2920273990021096,0,Can Pay
C1149,0,6,44717,Salaried,0,2430,76096,418,0,4,8,2914569,60,Auto,1.1406433794753674,1,Can't Pay
C1150,1,7,196056,Self-employed,3,39828,67358,341,0,4,7,2819970,48,Home,0.5028021330640225,1,Can't Pay
C1151,0,0,122292,Salaried,3,2936,29265,309,0,0,6,2258094,60,Home,0.3317543257122297,0,Can Pay
C1152,0,10,171207,Self-employed,8,11864,78251,729,0,0,1,390384,180,Personal,0.0819639383903695,0,Can Pay
C1153,0,1,174236,Salaried,7,25115,14438,767,0,0,1,2354842,180,Home,0.2192282625608689,0,Can Pay
C1154,1,7,53562,Business,1,9307,75779,348,0,3,7,1443645,36,Personal,0.9224496844778014,1,Can't Pay
C1155,0,11,35169,Salaried,5,6709,33629,506,0,5,8,2155356,60,Auto,1.212192555944155,1,Can't Pay
C1156,1,8,36604,Self-employed,10,29854,67442,813,0,0,8,2605273,36,Personal,2.792664584319868,0,Can Pay
C1157,1,3,104670,Salaried,3,41843,9085,509,1,1,7,2334400,60,Personal,0.7714690614948567,1,Can't Pay
C1158,0,11,129605,Salaried,13,20707,29513,438,0,2,0,1575562,180,Personal,0.2273069883277822,0,Can Pay
C1159,1,9,103738,Self-employed,8,39384,65084,336,0,1,4,923253,24,Personal,0.7504759586650986,1,Can't Pay
C1160,0,10,146756,Business,1,35187,68605,517,0,3,6,741731,60,Personal,0.3240016308248612,1,Can't Pay
C1161,1,9,143140,Salaried,0,1399,66666,755,1,0,9,701533,12,Auto,0.4181925620604536,1,Can't Pay
C1162,1,13,117537,Salaried,3,42536,73412,811,1,4,5,2991911,60,Auto,0.7861454974461942,1,Can't Pay
C1163,1,8,126301,Salaried,11,24188,56178,577,0,2,0,2899831,24,Home,1.1481642399242025,1,Can't Pay
C1164,0,3,23007,Salaried,4,14245,76092,479,0,5,9,1063700,24,Personal,2.545565842279886,1,Can't Pay
C1165,1,9,129915,Salaried,8,45746,43009,816,0,3,5,1914453,60,Personal,0.5977258207289382,0,Can Pay
C1166,0,9,132419,Self-employed,3,23371,68976,429,0,1,3,1420023,180,Auto,0.2360689679477013,0,Can Pay
C1167,0,9,56787,Business,15,47204,37225,658,0,0,2,1960964,60,Personal,1.406778546733114,0,Can Pay
C1168,0,8,64582,Salaried,1,32286,43437,303,0,3,3,1960498,60,Home,1.0058679921133855,1,Can't Pay
C1169,1,10,98629,Salaried,15,21693,75935,382,0,3,7,2590808,120,Personal,0.4388472626374257,0,Can Pay
C1170,1,6,20782,Salaried,15,34303,18648,453,0,4,5,386888,120,Auto,1.8057485644628364,1,Can't Pay
C1171,0,1,81770,Salaried,10,21137,47936,805,0,5,8,1969081,48,Personal,0.7601751355427826,0,Can Pay
C1172,1,8,72645,Salaried,0,41049,45263,808,0,4,4,589456,180,Personal,0.6101418618701295,1,Can't Pay
C1173,0,3,118509,Salaried,14,15365,53373,396,0,4,8,2250038,36,Home,0.65704761288641,1,Can't Pay
C1174,1,7,178068,Salaried,3,13450,57814,581,0,5,3,1807587,60,Personal,0.2447180290675472,0,Can Pay
C1175,0,13,44204,Salaried,17,4190,70137,837,0,1,3,1394095,60,Home,0.6204170814104305,0,Can Pay
C1176,1,6,32152,Salaried,16,42861,51972,728,0,4,5,2245238,36,Personal,3.272851524702109,0,Can Pay
C1177,0,12,105555,Salaried,6,43639,33147,842,1,5,9,2645815,12,Home,2.502236590718899,1,Can't Pay
C1178,1,14,34689,Salaried,17,23937,24295,425,0,3,6,2438090,48,Personal,2.154300835038965,1,Can't Pay
C1179,0,6,196762,Business,12,7452,11897,600,0,3,1,2149988,48,Home,0.2655157838742575,0,Can Pay
C1180,0,7,98251,Self-employed,19,3960,43253,842,0,5,3,2339700,12,Auto,2.024763106736827,0,Can Pay
C1181,0,0,121565,Business,19,39602,10838,666,0,3,7,2030171,36,Auto,0.7896651082868333,0,Can Pay
C1182,1,4,168014,Salaried,9,30185,72680,344,0,2,8,2926101,180,Home,0.2764121839053094,0,Can Pay
C1183,1,1,53712,Salaried,0,10564,31414,792,0,2,4,1001038,36,Home,0.7143768824678118,1,Can't Pay
C1184,0,1,64632,Salaried,1,47510,43748,615,0,5,5,1085790,24,Home,1.4350669946775592,1,Can't Pay
C1185,1,14,184103,Salaried,16,5091,66157,488,0,5,9,1670564,36,Personal,0.2797105726444194,0,Can Pay
C1186,1,0,35478,Self-employed,2,49670,34483,351,0,1,6,557995,120,Home,1.531088514948231,1,Can't Pay
C1187,1,4,37551,Salaried,16,30519,16513,631,0,5,6,290592,180,Personal,0.8557268781124338,0,Can Pay
C1188,1,1,63068,Salaried,11,3710,60549,798,0,4,2,1804838,48,Personal,0.6550198463034608,0,Can Pay
C1189,0,3,108608,Salaried,11,49981,49802,617,0,3,1,2732732,180,Home,0.5999819943691482,0,Can Pay
C1190,0,2,50561,Salaried,19,39395,31451,709,0,4,9,2036133,120,Home,1.1147480271355392,0,Can Pay
C1191,1,2,148964,Business,9,7988,45909,622,0,5,7,2180313,24,Personal,0.6634782564915013,0,Can Pay
C1192,1,1,39395,Salaried,6,35754,53091,529,0,3,8,337313,60,Home,1.0502826077759444,1,Can't Pay
C1193,1,12,33756,Self-employed,9,28114,57389,643,1,2,7,2502289,60,Auto,2.0683379744835486,1,Can't Pay
C1194,0,5,180723,Salaried,17,23074,45963,670,0,3,7,648901,60,Home,0.1875191130440877,0,Can Pay
C1195,0,1,81333,Business,5,21198,59734,591,0,1,1,1625916,24,Home,1.0935843999360653,1,Can't Pay
C1196,1,13,195378,Salaried,6,10509,70509,736,0,0,3,2581832,48,Personal,0.3290911293322004,0,Can Pay
C1197,1,13,167418,Self-employed,16,25180,37291,546,0,3,5,2331126,36,Auto,0.5371793952860505,1,Can't Pay
C1198,1,7,128561,Salaried,11,48068,26817,518,0,5,7,838209,24,Personal,0.645556389573821,1,Can't Pay
C1199,1,7,43024,Self-employed,16,45433,78666,833,0,1,1,1711717,180,Auto,1.2770207067889756,0,Can Pay
C1200,1,12,186890,Salaried,17,16560,7559,818,0,2,7,1766565,48,Auto,0.2855339370752849,0,Can Pay
C1201,0,13,20947,Salaried,13,43281,19744,771,0,2,0,1880313,180,Home,2.5649106475072005,0,Can Pay
C1202,0,11,142192,Business,10,42674,36155,649,0,0,5,2637093,36,Auto,0.8152820364952552,0,Can Pay
C1203,1,4,109238,Business,1,38938,26021,343,0,5,7,2909141,12,Personal,2.575719224689821,1,Can't Pay
C1204,1,9,82428,Salaried,0,35391,61898,364,0,4,7,1560253,48,Auto,0.8237039699293119,1,Can't Pay
C1205,0,6,175826,Self-employed,10,28731,56036,545,1,4,6,2212181,120,Home,0.2682529413549001,1,Can't Pay
C1206,0,3,78355,Salaried,1,19162,58176,370,0,3,6,771480,120,Personal,0.3266032799438453,1,Can't Pay
C1207,1,0,144958,Self-employed,15,48344,63399,457,0,2,9,1878252,12,Personal,1.4132714303453413,1,Can't Pay
C1208,0,10,159490,Self-employed,2,25236,23006,774,0,1,8,1434804,180,Home,0.2082082471210316,0,Can Pay
C1209,0,1,150905,Salaried,19,37133,57434,324,0,0,1,743324,60,Auto,0.3281649602951084,0,Can Pay
C1210,1,9,187905,Business,0,11379,69591,522,0,4,0,782442,180,Auto,0.0836906947659721,1,Can't Pay
C1211,1,9,146637,Self-employed,19,4340,8069,459,0,3,1,977446,60,Auto,0.140692776493427,0,Can Pay
C1212,1,3,186252,Salaried,7,4755,11486,374,0,3,2,2394612,48,Personal,0.2933807422202177,0,Can Pay
C1213,0,0,33402,Self-employed,18,48731,70389,437,0,2,8,1174013,120,Personal,1.7518244915474124,1,Can't Pay
C1214,1,14,188917,Salaried,0,41866,40428,778,0,1,9,1805556,12,Home,1.0180608415335834,1,Can't Pay
C1215,0,12,90851,Self-employed,4,48759,33800,602,0,1,6,846379,24,Home,0.9248636962352276,0,Can Pay
C1216,0,7,27834,Self-employed,0,19905,42220,686,1,4,4,527686,36,Personal,1.2417526925502782,1,Can't Pay
C1217,1,8,82850,Salaried,10,18259,61254,771,0,3,4,1098217,60,Home,0.4413110038221686,0,Can Pay
C1218,1,3,52180,Self-employed,8,31255,16869,633,0,2,5,164251,60,Home,0.6514472339338189,0,Can Pay
C1219,1,9,149955,Salaried,4,36726,9176,608,0,1,1,263879,60,Home,0.2742421615373501,0,Can Pay
C1220,1,2,124688,Salaried,1,34904,41454,827,0,3,0,1666819,60,Home,0.5027293457804012,1,Can't Pay
C1221,1,1,121520,Salaried,12,43556,75773,839,0,1,0,1321368,120,Home,0.4490404871626069,0,Can Pay
C1222,0,4,26695,Salaried,17,41813,31453,462,0,0,2,1302974,48,Personal,2.583191296747206,1,Can't Pay
C1223,0,13,142135,Self-employed,11,31614,61813,354,0,1,0,1670302,120,Auto,0.3203516609795851,0,Can Pay
C1224,0,2,169195,Salaried,13,506,71326,754,0,1,8,2317719,48,Personal,0.2883762079257661,0,Can Pay
C1225,0,9,73481,Salaried,4,8599,52595,604,0,3,9,1267947,12,Home,1.5549767967229624,0,Can Pay
C1226,1,6,88438,Self-employed,9,21774,46184,401,0,1,4,1933390,24,Personal,1.1571034698508182,1,Can't Pay
C1227,0,10,126491,Salaried,19,8715,57186,687,0,1,8,2114591,12,Home,1.4620084959931272,0,Can Pay
C1228,1,5,163645,Salaried,1,21997,21609,507,0,0,4,102984,120,Auto,0.1396632955482905,1,Can't Pay
C1229,1,0,136844,Salaried,3,35818,79539,614,1,1,0,561265,120,Personal,0.2959224250484737,0,Can Pay
C1230,1,11,109910,Self-employed,11,14783,32068,348,1,1,6,2637200,24,Auto,1.1342583325751372,1,Can't Pay
C1231,1,7,71494,Salaried,10,31262,51996,817,0,3,6,1882220,48,Personal,0.9857458900980034,0,Can Pay
C1232,1,1,158360,Salaried,3,23476,66446,447,0,2,3,2469395,60,Personal,0.4081370506020039,0,Can Pay
C1233,0,4,61978,Salaried,10,2397,74759,510,0,0,2,1415622,12,Auto,1.9420681532156567,1,Can't Pay
